ユーザー名,メールアドレス,製品名,個数,価格
佐藤 健一,kazuyayoshida@hasegawa.com,デジタルカメラ,2,120000
加藤 晃,cishikawa@hasegawa.jp,ゲームコンソール,10,400000
山本 康弘,zikeda@saito.jp,イヤホン,1,8000
高橋 健一,asuka89@yahoo.com,タブレット,2,60000
藤井 舞,yumiko47@yahoo.com,ポータブルバッテリー,4,10000
渡辺 淳,sayuri95@yahoo.com,ポータブルバッテリー,8,20000
太田 香織,uinoue@yahoo.com,ゲームコンソール,10,400000
吉田 淳,nanamihasegawa@yahoo.com,USBメモリ,6,9000
斎藤 拓真,naokiishikawa@gmail.com,スマートフォン,2,100000
石川 美加子,tokada@yamaguchi.net,イヤホン,6,48000
西村 美加子,kaoriito@gmail.com,ポータブルバッテリー,1,2500
田中 修平,satomituru@hotmail.com,スマートウォッチ,9,180000
高橋 康弘,yamaguchishohei@yahoo.com,スマートフォン,9,450000
山田 拓真,naoto89@yahoo.com,ワイヤレスチャージャー,5,25000
山口 英樹,skondo@hotmail.com,ノートパソコン,10,1000000
井上 結衣,taichi84@hotmail.com,ノートパソコン,5,500000
池田 春香,yoko49@yahoo.com,ワイヤレスチャージャー,9,45000
山下 春香,jabe@saito.com,ゲームコンソール,6,240000
鈴木 千代,maaya33@yamada.org,USBメモリ,9,13500
山下 香織,bsato@gmail.com,タブレット,7,210000
加藤 美加子,rikasato@gmail.com,スマートフォン,7,350000
佐藤 涼平,juntanaka@gmail.com,ノートパソコン,5,500000
松本 治,saitoharuka@gmail.com,ワイヤレスチャージャー,10,50000
中島 香織,mikakonakamura@yahoo.com,USBメモリ,1,1500
池田 晃,hfujiwara@shimizu.com,ワイヤレスチャージャー,2,10000
中村 洋介,saitonaoko@hotmail.com,デジタルカメラ,8,480000
伊藤 晃,chiyo98@takahashi.jp,イヤホン,9,72000
長谷川 充,vmurakami@kimura.com,スマートフォン,5,250000
吉田 洋介,hnishimura@sakamoto.jp,デジタルカメラ,1,60000
太田 千代,ryosukematsuda@miura.jp,イヤホン,10,80000
山本 七夏,ytakahashi@yahoo.com,ノートパソコン,3,300000
山口 太郎,harukamaeda@gmail.com,ワイヤレスチャージャー,3,15000
阿部 幹,tanakataro@watanabe.jp,ノートパソコン,1,100000
田中 舞,satomi96@yamaguchi.com,スマートフォン,8,400000
山本 さゆり,shotaota@kobayashi.com,イヤホン,9,72000
藤原 結衣,yamadaakira@hotmail.com,イヤホン,9,72000
斎藤 あすか,nanami70@hotmail.com,タブレット,3,90000
田中 あすか,maayasuzuki@nakamura.com,ワイヤレスチャージャー,6,30000
橋本 さゆり,takumayamada@sakamoto.jp,USBメモリ,1,1500
吉田 さゆり,nishimurarika@gmail.com,イヤホン,2,16000
清水 裕美子,yoshidakana@hotmail.com,ゲームコンソール,10,400000
木村 加奈,hasegawatsubasa@yamada.net,タブレット,1,30000
斎藤 くみ子,naoko83@kobayashi.org,ポータブルバッテリー,10,25000
森 明美,fujiwarayuta@watanabe.jp,ポータブルバッテリー,1,2500
山下 直子,kyosuke99@yamashita.com,スマートフォン,1,50000
森 幹,qgoto@yahoo.com,スマートウォッチ,6,120000
後藤 美加子,kondosayuri@fujii.jp,ポータブルバッテリー,4,10000
山田 直子,yamazakiakira@okamoto.com,ポータブルバッテリー,1,2500
長谷川 香織,haruka60@yahoo.com,ポータブルバッテリー,8,20000
坂本 美加子,yumikokobayashi@suzuki.com,ワイヤレスチャージャー,6,30000
太田 知実,yamaguchiharuka@hotmail.com,イヤホン,6,48000
渡辺 翔太,tanakayui@gmail.com,ゲームコンソール,9,360000
佐々木 淳,manabuinoue@okamoto.org,スマートフォン,4,200000
後藤 幹,naokiendo@gmail.com,タブレット,4,120000
木村 真綾,naoto55@yahoo.com,デジタルカメラ,5,300000
佐藤 千代,kazuyayoshida@gmail.com,USBメモリ,3,4500
田中 浩,takumaito@kato.jp,イヤホン,1,8000
近藤 康弘,atsushisaito@yahoo.com,ゲームコンソール,1,40000
近藤 七夏,haruka19@abe.com,ゲームコンソール,3,120000
池田 稔,mituruyamada@suzuki.jp,ポータブルバッテリー,10,25000
藤田 裕太,kumikosasaki@yahoo.com,ワイヤレスチャージャー,8,40000
小林 修平,mikiyamada@yahoo.com,タブレット,8,240000
小林 花子,yamamotoyosuke@matsumoto.org,ポータブルバッテリー,4,10000
松田 真綾,csuzuki@hashimoto.com,ポータブルバッテリー,9,22500
村上 加奈,shohei71@nakajima.net,スマートフォン,2,100000
斎藤 京助,katoyoichi@nishimura.jp,ポータブルバッテリー,2,5000
阿部 修平,kondomai@kobayashi.net,デジタルカメラ,6,360000
鈴木 太郎,kimuraryohei@suzuki.jp,スマートフォン,10,500000
遠藤 さゆり,owatanabe@gmail.com,USBメモリ,5,7500
加藤 さゆり,suzukimaaya@yahoo.com,イヤホン,5,40000
田中 京助,lendo@sato.jp,ノートパソコン,2,200000
中島 学,haruka50@hotmail.com,タブレット,7,210000
鈴木 香織,itomomoko@takahashi.com,ワイヤレスチャージャー,2,10000
高橋 桃子,junnakamura@miura.jp,スマートウォッチ,4,80000
小林 さゆり,hidekiyoshida@kobayashi.jp,ノートパソコン,1,100000
中村 浩,ogawarika@gmail.com,タブレット,2,60000
高橋 太郎,yamashitakenichi@yahoo.com,USBメモリ,9,13500
佐々木 加奈,kimuraryohei@yahoo.com,USBメモリ,1,1500
長谷川 健一,rei56@yahoo.com,スマートウォッチ,8,160000
高橋 浩,satomisato@fujii.com,スマートフォン,10,500000
清水 くみ子,naoko16@hotmail.com,ゲームコンソール,9,360000
斉藤 涼平,matsudamituru@hotmail.com,タブレット,1,30000
吉田 晃,yamadanaoki@ishii.com,USBメモリ,3,4500
中島 幹,satoasuka@gmail.com,USBメモリ,5,7500
前田 明美,lendo@yahoo.com,ノートパソコン,5,500000
伊藤 直子,ssuzuki@yoshida.jp,ノートパソコン,5,500000
田中 涼平,hiroshimaeda@ito.jp,デジタルカメラ,7,420000
前田 裕美子,kumiko62@yahoo.com,ノートパソコン,1,100000
小林 千代,otaosamu@mori.com,ポータブルバッテリー,10,25000
伊藤 香織,takahashiyumiko@hotmail.com,ワイヤレスチャージャー,4,20000
山田 美加子,tsubasaikeda@hotmail.com,USBメモリ,4,6000
山田 和也,matsudanaoki@kato.jp,USBメモリ,7,10500
清水 直人,ghasegawa@sato.org,ノートパソコン,6,600000
木村 くみ子,satokana@hotmail.com,ノートパソコン,6,600000
池田 加奈,jwatanabe@yahoo.com,ワイヤレスチャージャー,2,10000
松本 翼,naokiyamashita@endo.com,タブレット,3,90000
高橋 稔,satokazuya@hotmail.com,USBメモリ,8,12000
池田 翔太,manabuota@gmail.com,ノートパソコン,6,600000
吉田 知実,haruka63@yahoo.com,USBメモリ,2,3000
鈴木 聡太郎,pmatsumoto@gmail.com,スマートウォッチ,4,80000
